phase,name,status,dataset,model,objective,seed,run_tag,target_epochs,target_folds,target_batch_size,target_eval_every,completed_folds,actual_epochs,actual_batch_size,actual_eval_every,lr,density_prior,mean_best_epoch,mean_valid_mAP,mean_valid_loss,tuned_mAP,tuned_mf1,score_required,purpose,run_dir
P7,online_model_ablation,pending,sleep,flstm,hard,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,seg,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,seg,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,flstm,seg,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,density_hard,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,density_hard,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,density_hard,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,hard,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,hard,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,hard,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,seg,0,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,seg,1,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P7,online_model_ablation,pending,sleep,causal_transformer,seg,2,online_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Show whether the likelihood gain persists in causal/online models.,
P8,second_dataset_replication,pending,seizure,gru,density_hard,0,seizure_main_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Replicate the main comparison on seizure once that data is available.,
P8,second_dataset_replication,pending,seizure,gru,hard,0,seizure_main_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Replicate the main comparison on seizure once that data is available.,
P8,second_dataset_replication,pending,seizure,gru,seg,0,seizure_main_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Replicate the main comparison on seizure once that data is available.,
P8,second_dataset_replication,pending,seizure,unet,density_hard,0,seizure_main_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Replicate the main comparison on seizure once that data is available.,
P8,second_dataset_replication,pending,seizure,unet,hard,0,seizure_main_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Replicate the main comparison on seizure once that data is available.,
P8,second_dataset_replication,pending,seizure,unet,seg,0,seizure_main_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Replicate the main comparison on seizure once that data is available.,
